id_produk,minggu,tanggal_transaksi,current_event,id_toko,harga_promosi,diskon,margin_promosi,hari_jual,kedaluwarsa
P0005368,105,2025-01-01,Tahun Baru,1,11100,0.0547,0.1171,58,307
P0002650,105,2025-01-01,Tahun Baru,1,38200,0.0,0.1702,41,324
P0005697,105,2025-01-01,Tahun Baru,1,65400,0.0562,0.1269,157,208
P0008310,105,2025-01-01,Tahun Baru,1,14100,0.1261,0.0567,108,257
P0000337,105,2025-01-01,Tahun Baru,1,4700,0.0948,0.1277,45,320
P0003679,105,2025-01-01,Tahun Baru,1,3500,0.1265,0.0857,112,253
P0000745,105,2025-01-01,Tahun Baru,1,16500,0.0519,0.0848,129,236
P0003706,105,2025-01-01,Tahun Baru,1,58300,0.1256,0.0755,140,225
P0008596,105,2025-01-01,Tahun Baru,1,17400,0.11,0.0345,148,217
P0005448,105,2025-01-01,Tahun Baru,1,20000,0.092,0.135,177,188
P0002395,105,2025-01-01,Tahun Baru,1,24720,0.1366,0.0089,50,315
P0007735,105,2025-01-01,Tahun Baru,1,14400,0.0,0.2292,113,252
P0005311,105,2025-01-01,Tahun Baru,1,9750,0.0,0.1385,171,194
P0005878,105,2025-01-01,Tahun Baru,1,3000,0.1316,0.1,125,240
P0006830,105,2025-01-01,Tahun Baru,1,20500,0.107,0.1268,52,313
P0007350,105,2025-01-01,Tahun Baru,1,4100,0.0681,0.0976,160,205
P0007265,105,2025-01-01,Tahun Baru,1,16900,0.0,0.1538,70,295
P0005122,105,2025-01-01,Tahun Baru,1,35700,0.0687,0.0812,53,312
P0002705,105,2025-01-01,Tahun Baru,1,3800,0.0931,0.1316,63,302
P0003667,105,2025-01-01,Tahun Baru,1,18400,0.0678,0.0761,179,186
P0004231,105,2025-01-01,Tahun Baru,1,38600,0.066,0.0907,22,343
P0005433,105,2025-01-01,Tahun Baru,1,16300,0.1131,0.0491,28,337
P0002342,105,2025-01-01,Tahun Baru,1,23600,0.0,0.1992,15,350
P0004816,105,2025-01-01,Tahun Baru,1,36800,0.0933,0.0489,47,318
P0004678,105,2025-01-01,Tahun Baru,1,10000,0.0,0.17,117,248
P0004859,105,2025-01-01,Tahun Baru,1,10300,0.1442,0.068,93,272
P0002426,105,2025-01-01,Tahun Baru,1,36150,0.0,0.2199,57,308
P0004301,105,2025-01-01,Tahun Baru,1,19300,0.1377,0.0777,120,245
P0005704,105,2025-01-01,Tahun Baru,1,10200,0.131,0.0392,122,243
P0002984,105,2025-01-01,Tahun Baru,1,6200,0.0,0.1613,86,279
P0006832,105,2025-01-01,Tahun Baru,1,18800,0.0567,0.117,35,330
P0008337,105,2025-01-01,Tahun Baru,1,54400,0.1225,0.0864,76,289
P0000362,105,2025-01-01,Tahun Baru,1,37150,0.0,0.1844,1,9
P0004226,105,2025-01-01,Tahun Baru,1,27800,0.1491,0.0647,38,327
P0003571,105,2025-01-01,Tahun Baru,1,25600,0.1005,0.1289,77,288
P0008888,105,2025-01-01,Tahun Baru,1,6400,0.1048,0.0625,93,272
P0002111,105,2025-01-01,Tahun Baru,1,29500,0.1337,0.0678,114,251
P0008690,105,2025-01-01,Tahun Baru,1,15154,0.4554,0.03,5,5
P0008242,105,2025-01-01,Tahun Baru,1,14900,0.1246,0.0134,129,236
P0004071,105,2025-01-01,Tahun Baru,1,4400,0.0,0.1818,25,340
P0000771,105,2025-01-01,Tahun Baru,1,7300,0.0723,0.1644,30,335
P0001042,105,2025-01-01,Tahun Baru,1,8600,0.0565,0.1047,106,259
P0001572,105,2025-01-01,Tahun Baru,1,23100,0.1213,0.1255,133,232
P0018823,105,2025-01-01,Tahun Baru,2,6950,0.0,0.1655,21,344
P0019042,105,2025-01-01,Tahun Baru,2,38100,0.0,0.2047,2,8
P0017411,105,2025-01-01,Tahun Baru,2,39400,0.0962,0.1168,172,193
P0018373,105,2025-01-01,Tahun Baru,2,7200,0.0501,0.1806,67,298
P0017065,105,2025-01-01,Tahun Baru,2,10700,0.1189,0.0467,164,201
P0009730,105,2025-01-01,Tahun Baru,2,24000,0.0743,0.1167,49,316
P0011452,105,2025-01-01,Tahun Baru,2,4655,0.4243,0.0977,5,5
P0020306,105,2025-01-01,Tahun Baru,2,18500,0.0909,0.1514,154,211
P0018491,105,2025-01-01,Tahun Baru,2,35550,0.0,0.2011,127,238
P0015260,105,2025-01-01,Tahun Baru,2,7000,0.1009,0.0714,154,211
P0021436,105,2025-01-01,Tahun Baru,2,42700,0.1331,0.0422,34,331
P0011138,105,2025-01-01,Tahun Baru,2,25550,0.0,0.1546,98,267
P0021134,105,2025-01-01,Tahun Baru,2,46500,0.1293,0.086,44,321
P0020927,105,2025-01-01,Tahun Baru,2,26400,0.0932,0.1174,108,257
P0020129,105,2025-01-01,Tahun Baru,2,14150,0.0,0.1378,163,202
P0018909,105,2025-01-01,Tahun Baru,2,9400,0.1436,0.0957,162,203
P0012713,105,2025-01-01,Tahun Baru,2,7100,0.1261,0.0563,68,297
P0017440,105,2025-01-01,Tahun Baru,2,2600,0.098,0.0769,95,270
P0013904,105,2025-01-01,Tahun Baru,2,51200,0.0,0.1777,61,304
P0013986,105,2025-01-01,Tahun Baru,2,6500,0.1193,0.0769,72,293
P0009246,105,2025-01-01,Tahun Baru,2,36550,0.0,0.2066,2,8
P0015758,105,2025-01-01,Tahun Baru,2,22700,0.0829,0.1057,44,321
P0020715,105,2025-01-01,Tahun Baru,2,18400,0.0,0.1467,175,190
P0016129,105,2025-01-01,Tahun Baru,2,32500,0.1262,0.1015,47,318
P0011655,105,2025-01-01,Tahun Baru,2,11700,0.0681,0.0684,156,209
P0009382,105,2025-01-01,Tahun Baru,2,30700,0.096,0.0619,46,319
P0018278,105,2025-01-01,Tahun Baru,2,4000,0.0748,0.075,171,194
P0010190,105,2025-01-01,Tahun Baru,2,7200,0.0709,0.0972,85,280
P0015059,105,2025-01-01,Tahun Baru,2,12000,0.0,0.1333,112,253
P0015804,105,2025-01-01,Tahun Baru,2,8400,0.0595,0.1548,96,269
P0011045,105,2025-01-01,Tahun Baru,2,9550,0.0,0.1309,120,245
P0009953,105,2025-01-01,Tahun Baru,2,5300,0.1349,0.0189,151,214
P0021179,105,2025-01-01,Tahun Baru,2,55800,0.0763,0.1505,174,191
P0009859,105,2025-01-01,Tahun Baru,2,13700,0.1245,0.0438,133,232
P0018208,105,2025-01-01,Tahun Baru,2,12500,0.0948,0.064,59,306
P0020726,105,2025-01-01,Tahun Baru,2,24200,0.1312,0.0331,122,243
P0013613,105,2025-01-01,Tahun Baru,2,6100,0.0634,0.1475,44,321
P0021536,105,2025-01-01,Tahun Baru,2,15000,0.0,0.18,102,263
P0009631,105,2025-01-01,Tahun Baru,2,6100,0.1208,0.0164,157,208
P0011685,105,2025-01-01,Tahun Baru,2,15700,0.0872,0.0828,83,282
P0009642,105,2025-01-01,Tahun Baru,2,11100,0.1348,0.0541,124,241
P0016636,105,2025-01-01,Tahun Baru,2,56500,0.1214,0.1027,80,285
P0015505,105,2025-01-01,Tahun Baru,2,8150,0.0,0.2147,92,273
P0016194,105,2025-01-01,Tahun Baru,2,13400,0.0,0.1716,2,8
P0011331,105,2025-01-01,Tahun Baru,2,4000,0.0595,0.175,115,250
P0013751,105,2025-01-01,Tahun Baru,2,18900,0.0642,0.1323,58,307
P0016137,105,2025-01-01,Tahun Baru,2,29500,0.1015,0.1017,172,193
P0016368,105,2025-01-01,Tahun Baru,2,7800,0.051,0.1795,41,324
P0009887,105,2025-01-01,Tahun Baru,2,6466,0.375,0.0411,5,5
P0013815,105,2025-01-01,Tahun Baru,2,5800,0.0,0.1552,146,219
P0013840,105,2025-01-01,Tahun Baru,2,19400,0.1451,0.067,156,209
P0010458,105,2025-01-01,Tahun Baru,2,19300,0.1311,0.0415,88,277
P0017138,105,2025-01-01,Tahun Baru,2,61500,0.1476,0.0618,29,336
P0021179,105,2025-01-01,Tahun Baru,2,56500,0.0638,0.1611,33,332
P0020459,105,2025-01-01,Tahun Baru,2,33300,0.0908,0.0781,171,194
P0012188,105,2025-01-01,Tahun Baru,2,22000,0.1111,0.0727,51,314
P0011674,105,2025-01-01,Tahun Baru,2,15900,0.0875,0.0566,46,319
P0016917,105,2025-01-01,Tahun Baru,2,7100,0.0533,0.0986,157,208
P0021337,105,2025-01-01,Tahun Baru,2,4400,0.0,0.1364,45,320
P0015546,105,2025-01-01,Tahun Baru,2,5700,0.0,0.193,23,342
P0018252,105,2025-01-01,Tahun Baru,2,8200,0.145,0.0732,156,209
P0017226,105,2025-01-01,Tahun Baru,2,40000,0.0838,0.1425,180,185
P0019217,105,2025-01-01,Tahun Baru,2,3390,0.4359,0.1445,6,4
P0019460,105,2025-01-01,Tahun Baru,2,24350,0.0,0.1622,81,284
P0011044,105,2025-01-01,Tahun Baru,2,61900,0.0664,0.1567,102,263
P0020856,105,2025-01-01,Tahun Baru,2,16500,0.1308,0.0545,35,330
P0009793,105,2025-01-01,Tahun Baru,2,9400,0.1433,0.0319,153,212
P0018753,105,2025-01-01,Tahun Baru,2,9200,0.146,0.0761,65,300
P0018614,105,2025-01-01,Tahun Baru,2,8000,0.1327,0.0125,53,312
P0016863,105,2025-01-01,Tahun Baru,2,27500,0.1245,0.0255,130,235
P0014125,105,2025-01-01,Tahun Baru,2,10700,0.0674,0.0841,25,340
P0009959,105,2025-01-01,Tahun Baru,2,11100,0.079,0.0991,54,311
P0017739,105,2025-01-01,Tahun Baru,2,24700,0.0838,0.0567,149,216
P0014560,105,2025-01-01,Tahun Baru,2,53400,0.1435,0.0225,175,190
P0016259,105,2025-01-01,Tahun Baru,2,2908,0.3254,0.0371,4,6
P0020897,105,2025-01-01,Tahun Baru,2,42500,0.0778,0.1035,115,250
P0010707,105,2025-01-01,Tahun Baru,2,42600,0.0,0.1737,173,192
P0018472,105,2025-01-01,Tahun Baru,2,13600,0.117,0.0368,22,343
P0021265,105,2025-01-01,Tahun Baru,2,18000,0.0707,0.1667,80,285
P0014880,105,2025-01-01,Tahun Baru,2,18700,0.0524,0.1551,40,325
P0015630,105,2025-01-01,Tahun Baru,2,32200,0.1231,0.0093,125,240
P0010059,105,2025-01-01,Tahun Baru,2,33300,0.0,0.1802,153,212
P0012533,105,2025-01-01,Tahun Baru,2,16900,0.1343,0.0118,156,209
P0016830,105,2025-01-01,Tahun Baru,2,8300,0.0,0.1928,171,194
P0013263,105,2025-01-01,Tahun Baru,2,3750,0.0,0.2267,127,238
P0009785,105,2025-01-01,Tahun Baru,2,11300,0.0,0.1327,80,285
P0009627,105,2025-01-01,Tahun Baru,2,41000,0.0,0.2146,117,248
P0011820,105,2025-01-01,Tahun Baru,2,6150,0.0,0.1545,120,245
P0021396,105,2025-01-01,Tahun Baru,2,10300,0.0,0.2039,27,338
P0018763,105,2025-01-01,Tahun Baru,2,21900,0.1295,0.0731,32,333
P0020556,105,2025-01-01,Tahun Baru,2,21150,0.0,0.2009,74,291
P0009859,105,2025-01-01,Tahun Baru,2,13700,0.1222,0.0438,161,204
P0009547,105,2025-01-01,Tahun Baru,2,10800,0.09,0.1019,42,323
P0014060,105,2025-01-01,Tahun Baru,2,8500,0.0561,0.1294,174,191
P0010961,105,2025-01-01,Tahun Baru,2,13000,0.0854,0.1231,77,288
P0011502,105,2025-01-01,Tahun Baru,2,40500,0.1344,0.1111,70,295
P0009890,105,2025-01-01,Tahun Baru,2,26200,0.117,0.0992,133,232
P0009676,105,2025-01-01,Tahun Baru,2,9800,0.0952,0.0816,128,237
P0020249,105,2025-01-01,Tahun Baru,2,20000,0.0576,0.17,83,282
P0013675,105,2025-01-01,Tahun Baru,2,7000,0.0664,0.0714,20,345
P0014039,105,2025-01-01,Tahun Baru,2,6600,0.0535,0.1515,81,284
P0014612,105,2025-01-01,Tahun Baru,2,14200,0.1309,0.0634,101,264
P0010869,105,2025-01-01,Tahun Baru,2,3400,0.0,0.1471,84,281
P0018217,105,2025-01-01,Tahun Baru,2,35800,0.1466,0.0866,41,324
P0016427,105,2025-01-01,Tahun Baru,2,4000,0.0635,0.1,117,248
P0011072,105,2025-01-01,Tahun Baru,2,11200,0.0567,0.1696,116,249
P0011750,105,2025-01-01,Tahun Baru,2,8300,0.0602,0.1325,101,264
P0018970,105,2025-01-01,Tahun Baru,2,31300,0.1152,0.0671,123,242
P0009748,105,2025-01-01,Tahun Baru,2,6600,0.0,0.197,94,271
P0020558,105,2025-01-01,Tahun Baru,2,26100,0.1366,0.0345,65,300
P0020491,105,2025-01-01,Tahun Baru,2,33000,0.0,0.1909,32,333
P0016436,105,2025-01-01,Tahun Baru,2,11700,0.0,0.2051,71,294
P0009547,105,2025-01-01,Tahun Baru,2,10100,0.1494,0.0396,122,243
P0012195,105,2025-01-01,Tahun Baru,2,12100,0.0913,0.1405,147,218
P0011371,105,2025-01-01,Tahun Baru,2,10750,0.0,0.1628,89,276
P0019613,105,2025-01-01,Tahun Baru,2,4000,0.0,0.15,57,308
P0020471,105,2025-01-01,Tahun Baru,2,20600,0.0,0.1893,178,187
P0009864,105,2025-01-01,Tahun Baru,2,3166,0.3306,0.1472,6,4
P0013783,105,2025-01-01,Tahun Baru,2,12500,0.139,0.072,119,246
P0013641,105,2025-01-01,Tahun Baru,2,22300,0.0612,0.1794,153,212
P0011211,105,2025-01-01,Tahun Baru,2,32000,0.0864,0.0656,141,224
P0020834,105,2025-01-01,Tahun Baru,2,9100,0.1178,0.044,72,293
P0014869,105,2025-01-01,Tahun Baru,2,17000,0.068,0.0706,22,343
P0010171,105,2025-01-01,Tahun Baru,2,11500,0.1469,0.0087,33,332
P0013169,105,2025-01-01,Tahun Baru,2,16398,0.4486,0.0304,4,6
P0012504,105,2025-01-01,Tahun Baru,2,3400,0.0812,0.1471,57,308
P0020650,105,2025-01-01,Tahun Baru,2,5200,0.0,0.2115,2,8
P0020922,105,2025-01-01,Tahun Baru,2,41500,0.0974,0.0482,82,283
P0016061,105,2025-01-01,Tahun Baru,2,9350,0.0,0.1658,143,222
P0020130,105,2025-01-01,Tahun Baru,2,14900,0.0579,0.1544,23,342
P0012834,105,2025-01-01,Tahun Baru,2,1350,0.0,0.1852,36,329
P0012539,105,2025-01-01,Tahun Baru,2,30529,0.3726,0.0075,3,7
P0017112,105,2025-01-01,Tahun Baru,2,2600,0.0922,0.0385,148,217
P0021212,105,2025-01-01,Tahun Baru,2,7300,0.0787,0.1233,143,222
P0014718,105,2025-01-01,Tahun Baru,2,4800,0.086,0.125,117,248
P0015063,105,2025-01-01,Tahun Baru,2,29100,0.1328,0.0103,73,292
P0015667,105,2025-01-01,Tahun Baru,2,25000,0.137,0.064,91,274
P0015865,105,2025-01-01,Tahun Baru,2,21600,0.0,0.1435,2,8
P0016986,105,2025-01-01,Tahun Baru,2,8700,0.0,0.1724,55,310
P0012915,105,2025-01-01,Tahun Baru,2,33100,0.1494,0.0242,125,240
P0010141,105,2025-01-01,Tahun Baru,2,12700,0.1414,0.1024,55,310
P0016276,105,2025-01-01,Tahun Baru,2,28400,0.0,0.2254,77,288
P0016121,105,2025-01-01,Tahun Baru,2,19826,0.4251,0.0215,6,4
P0012524,105,2025-01-01,Tahun Baru,2,16900,0.0,0.142,141,224
P0013218,105,2025-01-01,Tahun Baru,2,13900,0.0706,0.1151,72,293
P0020117,105,2025-01-01,Tahun Baru,2,13800,0.1131,0.0797,180,185
P0014903,105,2025-01-01,Tahun Baru,2,3950,0.0,0.1646,56,309
P0009253,105,2025-01-01,Tahun Baru,2,26300,0.0763,0.0951,120,245
P0013591,105,2025-01-01,Tahun Baru,2,4634,0.4323,0.0505,3,7
P0013150,105,2025-01-01,Tahun Baru,2,12700,0.0973,0.0394,90,275
