id_produk,minggu,tanggal_transaksi,current_event,id_toko,harga_promosi,diskon,tipe_diskon,margin_promosi,hari_jual,kedaluwarsa
P00004628,105,2025-01-01,Tahun Baru,1,18200,0.0568,Event Based Discount,0.0804,161,204
P00002642,105,2025-01-01,Tahun Baru,1,28400,0.0,Event Based Discount,0.1501,70,470
P00001311,105,2025-01-01,Tahun Baru,1,2700,0.0532,Event Based Discount,0.1467,172,193
P00006005,105,2025-01-01,Tahun Baru,1,27100,0.0,Event Based Discount,0.1943,141,224
P00006380,105,2025-01-01,Tahun Baru,1,30000,0.0,Event Based Discount,0.1955,115,250
P00001232,105,2025-01-01,Tahun Baru,1,30100,0.0,Event Based Discount,0.231,84,186
P00002098,105,2025-01-01,Tahun Baru,1,24400,0.0,Event Based Discount,0.1702,90,640
P00006572,105,2025-01-01,Tahun Baru,1,5100,0.0,Event Based Discount,0.21,65,300
P00003190,105,2025-01-01,Tahun Baru,1,31000,0.0,Event Based Discount,0.2103,75,290
P00002549,105,2025-01-01,Tahun Baru,1,13200,0.0,Event Based Discount,0.147,179,551
P00001453,105,2025-01-01,Tahun Baru,1,20600,0.1306,Event Based Discount,0.0959,97,268
P00004550,105,2025-01-01,Tahun Baru,1,30400,0.0,Event Based Discount,0.209,89,276
P00002717,105,2025-01-01,Tahun Baru,1,8000,0.0,Event Based Discount,0.2284,174,556
P00005073,105,2025-01-01,Tahun Baru,1,11600,0.0,Event Based Discount,0.1568,123,607
P00001779,105,2025-01-01,Tahun Baru,1,24700,0.0,Event Based Discount,0.138,42,323
P00000738,105,2025-01-01,Tahun Baru,1,3600,0.0,Event Based Discount,0.19,57,308
P00002340,105,2025-01-01,Tahun Baru,1,4900,0.0,Event Based Discount,0.1261,110,620
P00000123,105,2025-01-01,Tahun Baru,1,34595,0.4209,Expired Discount,0.0037,1,6
P00000211,105,2025-01-01,Tahun Baru,1,9700,0.0,Event Based Discount,0.223,130,235
P00005806,105,2025-01-01,Tahun Baru,1,9200,0.0,Event Based Discount,0.1533,43,322
P00001648,105,2025-01-01,Tahun Baru,1,61294,0.477,Expired Discount,0.0022,4,3
P00004569,105,2025-01-01,Tahun Baru,1,17800,0.0,Event Based Discount,0.2047,58,32
P00002514,105,2025-01-01,Tahun Baru,1,11600,0.0,Event Based Discount,0.1964,50,315
P00006248,105,2025-01-01,Tahun Baru,1,15900,0.1392,Event Based Discount,0.0844,143,222
P00001265,105,2025-01-01,Tahun Baru,1,8400,0.0,Event Based Discount,0.2256,5,40
P00000360,105,2025-01-01,Tahun Baru,1,7600,0.0,Event Based Discount,0.1586,139,226
P00006516,105,2025-01-01,Tahun Baru,1,73109,0.4145,Expired Discount,0.0058,2,5
P00000398,105,2025-01-01,Tahun Baru,1,6200,0.0,Event Based Discount,0.1997,179,186
P00006461,105,2025-01-01,Tahun Baru,1,22500,0.0,Event Based Discount,0.2283,179,186
P00002204,105,2025-01-01,Tahun Baru,1,27100,0.0,Event Based Discount,0.2118,53,677
P00002956,105,2025-01-01,Tahun Baru,1,17700,0.0,Event Based Discount,0.1967,43,687
P00002796,105,2025-01-01,Tahun Baru,1,19500,0.0,Event Based Discount,0.1846,175,190
P00003932,105,2025-01-01,Tahun Baru,1,12100,0.0,Event Based Discount,0.1331,161,204
P00004341,105,2025-01-01,Tahun Baru,1,9800,0.0,Event Based Discount,0.1684,75,290
P00004795,105,2025-01-01,Tahun Baru,1,11200,0.1273,Event Based Discount,0.1049,45,320
P00003113,105,2025-01-01,Tahun Baru,1,12100,0.0,Event Based Discount,0.1901,59,306
P00000643,105,2025-01-01,Tahun Baru,1,8300,0.0,Event Based Discount,0.1911,116,249
P00006802,105,2025-01-01,Tahun Baru,1,14300,0.0,Event Based Discount,0.1698,27,513
P00004208,105,2025-01-01,Tahun Baru,1,4000,0.1161,Event Based Discount,0.052,64,301
P00004748,105,2025-01-01,Tahun Baru,1,17700,0.1165,Event Based Discount,0.117,42,323
P00001903,105,2025-01-01,Tahun Baru,1,21000,0.1342,Event Based Discount,0.0496,66,299
P00000145,105,2025-01-01,Tahun Baru,1,23695,0.3749,Expired Discount,0.0201,9,5
P00002752,105,2025-01-01,Tahun Baru,1,5800,0.1287,Event Based Discount,0.0774,176,189
P00002940,105,2025-01-01,Tahun Baru,1,25400,0.0,Event Based Discount,0.1961,162,203
P00006298,105,2025-01-01,Tahun Baru,1,21700,0.0,Event Based Discount,0.2142,6,39
P00004789,105,2025-01-01,Tahun Baru,1,17000,0.0,Event Based Discount,0.1866,142,398
P00003956,105,2025-01-01,Tahun Baru,1,14200,0.0,Event Based Discount,0.1531,39,1056
P00004144,105,2025-01-01,Tahun Baru,1,2300,0.0979,Event Based Discount,0.0909,164,201
P00002014,105,2025-01-01,Tahun Baru,1,17300,0.0887,Event Based Discount,0.1434,47,318
P00000217,105,2025-01-01,Tahun Baru,1,6400,0.0,Event Based Discount,0.1445,126,239
P00000697,105,2025-01-01,Tahun Baru,1,15800,0.0675,Event Based Discount,0.0938,75,290
P00005709,105,2025-01-01,Tahun Baru,1,27574,0.313,Expired Discount,0.0099,3,4
P00004908,105,2025-01-01,Tahun Baru,1,15600,0.0,Event Based Discount,0.2092,38,232
P00003060,105,2025-01-01,Tahun Baru,1,11900,0.0,Event Based Discount,0.1717,91,449
P00000965,105,2025-01-01,Tahun Baru,1,7700,0.0,Event Based Discount,0.1986,164,-134
P00006841,105,2025-01-01,Tahun Baru,1,20800,0.0522,Event Based Discount,0.0927,166,199
P00001145,105,2025-01-01,Tahun Baru,1,11600,0.0,Event Based Discount,0.1873,95,270
P00001393,105,2025-01-01,Tahun Baru,1,9300,0.0,Event Based Discount,0.2081,92,178
P00005456,105,2025-01-01,Tahun Baru,1,20416,0.4589,Expired Discount,0.0239,179,1
P00002451,105,2025-01-01,Tahun Baru,1,30600,0.0,Event Based Discount,0.2235,39,326
P00000871,105,2025-01-01,Tahun Baru,1,25400,0.0,Event Based Discount,0.1572,79,286
P00005950,105,2025-01-01,Tahun Baru,1,24000,0.0,Event Based Discount,0.1609,44,321
P00000481,105,2025-01-01,Tahun Baru,1,9900,0.0,Event Based Discount,0.1715,42,323
P00002404,105,2025-01-01,Tahun Baru,1,28700,0.0,Event Based Discount,0.1905,25,65
P00005270,105,2025-01-01,Tahun Baru,1,15800,0.0,Event Based Discount,0.2197,33,332
P00004559,105,2025-01-01,Tahun Baru,1,30234,0.3227,Expired Discount,0.0088,3,4
P00002870,105,2025-01-01,Tahun Baru,1,5000,0.0,Event Based Discount,0.1356,107,73
P00005533,105,2025-01-01,Tahun Baru,1,2400,0.0583,Event Based Discount,0.1271,129,236
P00004283,105,2025-01-01,Tahun Baru,1,3300,0.1493,Event Based Discount,0.093,35,330
P00003343,105,2025-01-01,Tahun Baru,1,21400,0.0765,Event Based Discount,0.103,69,296
P00006442,105,2025-01-01,Tahun Baru,1,5900,0.1272,Event Based Discount,0.1119,62,303
P00004736,105,2025-01-01,Tahun Baru,1,28400,0.0,Event Based Discount,0.1326,17,163
P00005831,105,2025-01-01,Tahun Baru,1,18800,0.0,Event Based Discount,0.1818,78,1017
P00003876,105,2025-01-01,Tahun Baru,1,13700,0.0,Event Based Discount,0.1652,66,299
P00006769,105,2025-01-01,Tahun Baru,1,6400,0.0,Event Based Discount,0.2317,164,201
P00005654,105,2025-01-01,Tahun Baru,1,6400,0.0,Event Based Discount,0.1808,43,322
P00005768,105,2025-01-01,Tahun Baru,1,18700,0.133,Event Based Discount,0.1047,100,265
P00006188,105,2025-01-01,Tahun Baru,1,5600,0.0831,Event Based Discount,0.0954,165,200
P00005201,105,2025-01-01,Tahun Baru,1,18800,0.0,Event Based Discount,0.1428,34,696
P00005274,105,2025-01-01,Tahun Baru,1,10700,0.0,Event Based Discount,0.2024,131,409
P00000774,105,2025-01-01,Tahun Baru,1,25500,0.0,Event Based Discount,0.203,118,422
P00001811,105,2025-01-01,Tahun Baru,1,6000,0.0,Event Based Discount,0.2033,101,-11
P00005739,105,2025-01-01,Tahun Baru,1,18700,0.0,Event Based Discount,0.1477,150,215
P00006655,105,2025-01-01,Tahun Baru,1,7200,0.139,Event Based Discount,0.0879,60,305
P00005360,105,2025-01-01,Tahun Baru,1,6300,0.0,Event Based Discount,0.1565,102,263
P00003091,105,2025-01-01,Tahun Baru,1,23500,0.1048,Event Based Discount,0.0688,132,233
P00003995,105,2025-01-01,Tahun Baru,1,37446,0.4652,Expired Discount,0.0037,4,3
P00004592,105,2025-01-01,Tahun Baru,1,13500,0.0528,Event Based Discount,0.0888,133,232
P00002237,105,2025-01-01,Tahun Baru,1,8017,0.381,Expired Discount,0.0405,16,14
P00004156,105,2025-01-01,Tahun Baru,1,15600,0.0,Event Based Discount,0.2291,66,299
P00005760,105,2025-01-01,Tahun Baru,1,21000,0.0829,Event Based Discount,0.1278,158,207
P00004839,105,2025-01-01,Tahun Baru,1,17574,0.3746,Expired Discount,0.0072,6,8
P00001507,105,2025-01-01,Tahun Baru,1,91851,0.4655,Expired Discount,0.0028,1,6
P00005465,105,2025-01-01,Tahun Baru,1,25600,0.0,Event Based Discount,0.2274,133,597
P00006526,105,2025-01-01,Tahun Baru,1,30000,0.0,Event Based Discount,0.2083,164,201
P00006804,105,2025-01-01,Tahun Baru,1,15400,0.1183,Event Based Discount,0.054,173,192
P00003279,105,2025-01-01,Tahun Baru,1,28700,0.0,Event Based Discount,0.1538,20,345
P00004758,105,2025-01-01,Tahun Baru,1,8500,0.0,Event Based Discount,0.1925,161,204
P00000231,105,2025-01-01,Tahun Baru,1,23700,0.0,Event Based Discount,0.1362,105,625
P00005522,105,2025-01-01,Tahun Baru,1,24400,0.0,Event Based Discount,0.1955,120,420
P00004348,105,2025-01-01,Tahun Baru,1,2300,0.0531,Event Based Discount,0.0987,48,317
P00006776,105,2025-01-01,Tahun Baru,1,6500,0.0624,Event Based Discount,0.1435,142,223
P00003800,105,2025-01-01,Tahun Baru,1,2367,0.1286,Event Based Discount,0.1529,171,194
P00000947,105,2025-01-01,Tahun Baru,1,8600,0.0,Event Based Discount,0.1319,114,251
P00005564,105,2025-01-01,Tahun Baru,1,7200,0.0,Event Based Discount,0.1533,149,946
P00003128,105,2025-01-01,Tahun Baru,1,90708,0.3639,Expired Discount,0.0053,4,3
P00005688,105,2025-01-01,Tahun Baru,1,17900,0.0,Event Based Discount,0.1516,20,345
P00003876,105,2025-01-01,Tahun Baru,1,13700,0.0,Event Based Discount,0.1652,170,195
P00005158,105,2025-01-01,Tahun Baru,1,25100,0.0,Event Based Discount,0.2028,72,658
P00005427,105,2025-01-01,Tahun Baru,1,3900,0.0,Event Based Discount,0.1759,137,228
P00005228,105,2025-01-01,Tahun Baru,1,50944,0.3355,Expired Discount,0.009,4,3
P00005885,105,2025-01-01,Tahun Baru,1,25000,0.0765,Event Based Discount,0.087,62,303
P00006749,105,2025-01-01,Tahun Baru,1,13900,0.1396,Event Based Discount,0.0944,123,242
P00002789,105,2025-01-01,Tahun Baru,1,54161,0.3601,Expired Discount,0.0083,4,3
P00004767,105,2025-01-01,Tahun Baru,1,23600,0.0,Event Based Discount,0.2115,36,329
P00001428,105,2025-01-01,Tahun Baru,1,10100,0.0,Event Based Discount,0.1455,30,335
P00005812,105,2025-01-01,Tahun Baru,1,16700,0.0,Event Based Discount,0.222,72,293
P00013421,105,2025-01-01,Tahun Baru,2,18300,0.0,Event Based Discount,0.1606,81,284
P00017774,105,2025-01-01,Tahun Baru,2,5394,0.3108,Expired Discount,0.0569,5,9
P00013603,105,2025-01-01,Tahun Baru,2,2800,0.0,Event Based Discount,0.1811,38,327
P00014061,105,2025-01-01,Tahun Baru,2,6200,0.0,Event Based Discount,0.2227,96,-66
P00012140,105,2025-01-01,Tahun Baru,2,20600,0.0,Event Based Discount,0.1439,134,46
P00010945,105,2025-01-01,Tahun Baru,2,59408,0.4384,Expired Discount,0.0061,2,5
P00012586,105,2025-01-01,Tahun Baru,2,19200,0.0615,Event Based Discount,0.116,29,336
P00014978,105,2025-01-01,Tahun Baru,2,22500,0.0,Event Based Discount,0.1372,131,234
P00008848,105,2025-01-01,Tahun Baru,2,30700,0.0,Event Based Discount,0.229,151,579
P00014874,105,2025-01-01,Tahun Baru,2,6300,0.092,Event Based Discount,0.1011,22,343
P00014181,105,2025-01-01,Tahun Baru,2,7600,0.0,Event Based Discount,0.2232,112,253
P00011826,105,2025-01-01,Tahun Baru,2,5500,0.0763,Event Based Discount,0.0962,153,212
P00008469,105,2025-01-01,Tahun Baru,2,28900,0.0692,Event Based Discount,0.1439,141,224
P00007927,105,2025-01-01,Tahun Baru,2,19200,0.0,Event Based Discount,0.1814,86,454
P00007549,105,2025-01-01,Tahun Baru,2,5000,0.0,Event Based Discount,0.1398,166,199
P00009803,105,2025-01-01,Tahun Baru,2,11300,0.0,Event Based Discount,0.1776,108,257
P00010201,105,2025-01-01,Tahun Baru,2,27900,0.0,Event Based Discount,0.156,111,429
P00014498,105,2025-01-01,Tahun Baru,2,23800,0.0,Event Based Discount,0.2293,58,1037
P00008655,105,2025-01-01,Tahun Baru,2,28100,0.0876,Event Based Discount,0.112,72,293
P00017990,105,2025-01-01,Tahun Baru,2,6700,0.0,Event Based Discount,0.2009,81,284
P00013685,105,2025-01-01,Tahun Baru,2,21600,0.0,Event Based Discount,0.1579,139,226
P00011340,105,2025-01-01,Tahun Baru,2,2800,0.0,Event Based Discount,0.1714,79,286
P00011478,105,2025-01-01,Tahun Baru,2,12100,0.1352,Event Based Discount,0.1002,21,344
P00013204,105,2025-01-01,Tahun Baru,2,18700,0.0,Event Based Discount,0.2275,124,56
P00015172,105,2025-01-01,Tahun Baru,2,25200,0.0,Event Based Discount,0.1658,21,344
P00017341,105,2025-01-01,Tahun Baru,2,11800,0.0,Event Based Discount,0.2291,166,199
P00007122,105,2025-01-01,Tahun Baru,2,21900,0.0,Event Based Discount,0.168,25,1070
P00009333,105,2025-01-01,Tahun Baru,2,24400,0.0,Event Based Discount,0.1418,154,211
P00018907,105,2025-01-01,Tahun Baru,2,2700,0.0,Event Based Discount,0.1485,60,305
P00009427,105,2025-01-01,Tahun Baru,2,21500,0.0,Event Based Discount,0.18,19,1076
P00014333,105,2025-01-01,Tahun Baru,2,4100,0.0,Event Based Discount,0.1939,121,59
P00017473,105,2025-01-01,Tahun Baru,2,28400,0.0,Event Based Discount,0.1448,48,317
P00012320,105,2025-01-01,Tahun Baru,2,39400,0.0,Event Based Discount,0.1376,139,591
P00013617,105,2025-01-01,Tahun Baru,2,11600,0.0536,Event Based Discount,0.1308,162,203
P00016912,105,2025-01-01,Tahun Baru,2,16800,0.0,Event Based Discount,0.2204,54,311
P00014690,105,2025-01-01,Tahun Baru,2,8200,0.1325,Event Based Discount,0.0071,28,337
P00011230,105,2025-01-01,Tahun Baru,2,15700,0.0,Event Based Discount,0.1375,105,990
P00009644,105,2025-01-01,Tahun Baru,2,13406,0.4128,Expired Discount,0.0155,7,7
P00011074,105,2025-01-01,Tahun Baru,2,3400,0.0,Event Based Discount,0.2053,91,274
P00007504,105,2025-01-01,Tahun Baru,2,24200,0.1267,Event Based Discount,0.0252,34,331
P00017358,105,2025-01-01,Tahun Baru,2,11200,0.0,Event Based Discount,0.1388,137,958
P00015953,105,2025-01-01,Tahun Baru,2,14500,0.0636,Event Based Discount,0.1757,24,341
P00018666,105,2025-01-01,Tahun Baru,2,75500,0.0,Event Based Discount,0.1764,98,632
P00013258,105,2025-01-01,Tahun Baru,2,12000,0.0,Event Based Discount,0.2105,132,233
P00008992,105,2025-01-01,Tahun Baru,2,27300,0.0,Event Based Discount,0.1736,81,284
P00011452,105,2025-01-01,Tahun Baru,2,84777,0.3253,Expired Discount,0.0047,4,3
P00009356,105,2025-01-01,Tahun Baru,2,12500,0.1399,Event Based Discount,0.0357,84,281
P00010481,105,2025-01-01,Tahun Baru,2,25900,0.1296,Event Based Discount,0.0558,23,342
P00011414,105,2025-01-01,Tahun Baru,2,19300,0.0,Event Based Discount,0.2082,119,611
P00019037,105,2025-01-01,Tahun Baru,2,7500,0.0711,Event Based Discount,0.1135,78,287
P00008001,105,2025-01-01,Tahun Baru,2,22500,0.0,Event Based Discount,0.2267,46,319
P00011017,105,2025-01-01,Tahun Baru,2,13700,0.1226,Event Based Discount,0.0129,57,308
P00012567,105,2025-01-01,Tahun Baru,2,12400,0.142,Event Based Discount,0.0202,133,232
P00011835,105,2025-01-01,Tahun Baru,2,43000,0.0,Event Based Discount,0.1662,143,587
P00009852,105,2025-01-01,Tahun Baru,2,11000,0.0,Event Based Discount,0.1756,130,965
P00014597,105,2025-01-01,Tahun Baru,2,5700,0.0,Event Based Discount,0.2047,166,199
P00012838,105,2025-01-01,Tahun Baru,2,27600,0.0,Event Based Discount,0.1609,119,246
P00017958,105,2025-01-01,Tahun Baru,2,23900,0.0566,Event Based Discount,0.1824,154,211
P00014687,105,2025-01-01,Tahun Baru,2,15100,0.1448,Event Based Discount,0.064,135,230
P00016892,105,2025-01-01,Tahun Baru,2,10600,0.0739,Event Based Discount,0.1591,143,222
P00017213,105,2025-01-01,Tahun Baru,2,19900,0.1417,Event Based Discount,0.0581,114,251
P00012415,105,2025-01-01,Tahun Baru,2,20400,0.0938,Event Based Discount,0.1275,58,307
P00015552,105,2025-01-01,Tahun Baru,2,22900,0.0,Event Based Discount,0.1562,135,230
P00014888,105,2025-01-01,Tahun Baru,2,15600,0.0,Event Based Discount,0.1899,106,259
P00018830,105,2025-01-01,Tahun Baru,2,7900,0.0,Event Based Discount,0.1809,84,456
P00015010,105,2025-01-01,Tahun Baru,2,4500,0.0639,Event Based Discount,0.0933,146,219
P00015279,105,2025-01-01,Tahun Baru,2,27800,0.0,Event Based Discount,0.1513,136,229
P00010206,105,2025-01-01,Tahun Baru,2,27700,0.0,Event Based Discount,0.1451,124,241
P00016465,105,2025-01-01,Tahun Baru,2,14400,0.0,Event Based Discount,0.153,99,266
P00009556,105,2025-01-01,Tahun Baru,2,9100,0.1215,Event Based Discount,0.0835,18,347
P00008486,105,2025-01-01,Tahun Baru,2,26200,0.0,Event Based Discount,0.2269,29,241
P00007036,105,2025-01-01,Tahun Baru,2,29300,0.0,Event Based Discount,0.2135,131,234
P00017369,105,2025-01-01,Tahun Baru,2,11100,0.0744,Event Based Discount,0.1268,108,257
P00016890,105,2025-01-01,Tahun Baru,2,18500,0.0,Event Based Discount,0.1324,89,276
P00008708,105,2025-01-01,Tahun Baru,2,9700,0.0,Event Based Discount,0.1356,68,297
P00009771,105,2025-01-01,Tahun Baru,2,7400,0.0603,Event Based Discount,0.1523,119,246
P00009294,105,2025-01-01,Tahun Baru,2,13400,0.0,Event Based Discount,0.1897,106,434
P00010918,105,2025-01-01,Tahun Baru,2,22800,0.0,Event Based Discount,0.2265,156,209
P00015003,105,2025-01-01,Tahun Baru,2,18500,0.0641,Event Based Discount,0.1199,69,296
P00007855,105,2025-01-01,Tahun Baru,2,21400,0.0,Event Based Discount,0.2229,110,255
P00015505,105,2025-01-01,Tahun Baru,2,23000,0.0,Event Based Discount,0.1951,60,305
P00013629,105,2025-01-01,Tahun Baru,2,67717,0.3671,Expired Discount,0.0036,3,4
P00015140,105,2025-01-01,Tahun Baru,2,29600,0.0,Event Based Discount,0.2137,119,611
P00011678,105,2025-01-01,Tahun Baru,2,6300,0.0,Event Based Discount,0.1475,171,194
P00012609,105,2025-01-01,Tahun Baru,2,20300,0.0,Event Based Discount,0.2071,111,254
P00017731,105,2025-01-01,Tahun Baru,2,22300,0.0,Event Based Discount,0.1598,87,1008
P00016463,105,2025-01-01,Tahun Baru,2,18200,0.0,Event Based Discount,0.1355,68,297
P00014402,105,2025-01-01,Tahun Baru,2,24600,0.0,Event Based Discount,0.191,83,282
P00012425,105,2025-01-01,Tahun Baru,2,25200,0.0574,Event Based Discount,0.1381,103,262
P00016184,105,2025-01-01,Tahun Baru,2,61832,0.3447,Expired Discount,0.002,2,5
P00018064,105,2025-01-01,Tahun Baru,2,28300,0.0,Event Based Discount,0.2248,144,221
P00016587,105,2025-01-01,Tahun Baru,2,10200,0.0,Event Based Discount,0.2038,148,217
P00016702,105,2025-01-01,Tahun Baru,2,13000,0.0,Event Based Discount,0.1807,129,236
P00014708,105,2025-01-01,Tahun Baru,2,28300,0.072,Event Based Discount,0.1337,105,260
P00014621,105,2025-01-01,Tahun Baru,2,23100,0.0601,Event Based Discount,0.1413,173,192
P00013279,105,2025-01-01,Tahun Baru,2,5000,0.0,Event Based Discount,0.1382,35,330
P00015494,105,2025-01-01,Tahun Baru,2,19500,0.1373,Event Based Discount,0.0977,54,311
P00018217,105,2025-01-01,Tahun Baru,2,18800,0.0,Event Based Discount,0.1417,13,32
P00011599,105,2025-01-01,Tahun Baru,2,88391,0.3328,Expired Discount,0.0041,2,5
P00012246,105,2025-01-01,Tahun Baru,2,5500,0.0,Event Based Discount,0.1978,74,291
P00009480,105,2025-01-01,Tahun Baru,2,4600,0.0,Event Based Discount,0.1548,72,658
P00011134,105,2025-01-01,Tahun Baru,2,5000,0.136,Event Based Discount,0.098,52,313
P00019094,105,2025-01-01,Tahun Baru,2,27100,0.0,Event Based Discount,0.2237,26,339
P00015659,105,2025-01-01,Tahun Baru,2,6400,0.0,Event Based Discount,0.133,58,307
P00008663,105,2025-01-01,Tahun Baru,2,25900,0.0,Event Based Discount,0.1962,147,-57
P00011212,105,2025-01-01,Tahun Baru,2,22100,0.0,Event Based Discount,0.1869,17,348
P00010371,105,2025-01-01,Tahun Baru,2,33482,0.3832,Expired Discount,0.0093,3,4
P00013494,105,2025-01-01,Tahun Baru,2,23000,0.069,Event Based Discount,0.171,105,260
P00016597,105,2025-01-01,Tahun Baru,2,15600,0.1403,Event Based Discount,0.094,158,207
P00007009,105,2025-01-01,Tahun Baru,2,29000,0.0,Event Based Discount,0.1976,52,313
P00014176,105,2025-01-01,Tahun Baru,2,18700,0.0813,Event Based Discount,0.0777,47,318
P00016974,105,2025-01-01,Tahun Baru,2,12600,0.0,Event Based Discount,0.1472,82,458
P00014133,105,2025-01-01,Tahun Baru,2,16600,0.1147,Event Based Discount,0.021,48,317
P00009324,105,2025-01-01,Tahun Baru,2,23000,0.0,Event Based Discount,0.2173,154,211
P00018279,105,2025-01-01,Tahun Baru,2,6900,0.0,Event Based Discount,0.2039,17,348
